Ac₂O₃|actinium(III) oxide
AgBF₄|Silver tetrafluoroborate
AgBr|silver bromide
AgBrO|silver hypobromite
AgBrO₂|silver bromite
AgBrO₃|silver bromate
AgBrO₄|silver perbromate
AgCl|silver chloride
AgCl₃Cu₂|dicopper silver trichloride
AgClO₃|silver chlorate
AgClO₄|silver perchlorate
AgCN|silver cyanide
AgCNO|silver fulminate
AgF|silver fluoride
AgF₂|silver(II) fluoride
AgI|silver iodide
AgIO|silver hypoiodite
AgIO₂|silver iodite
AgIO₃|silver iodate
AgIO₄|silver periodate
AgMnO₄|silver permanganate
AgN₃|silver azide
AgNO₃|silver nitrate
AgO|silver monoxide
AgONC|silver cyanate
AgPF₆|silver hexafluorophosphate
AgSNC|silver thiocyanate
Ag₂C₂|silver acetylide
Ag₂CO₃|silver(I) carbonate
Ag₂C₂O₄|silver oxalate
Ag₂Cl₂|silver(II) dichloride
Ag₂CrO₄|silver chromate
Ag₂Cr₂O₇|silver dichromate
Ag₂F|silver subfluoride
Ag₂MoO₄|silver molybdate
Ag₂O|silver(I) oxide
Ag₂S|silver sulfide
Ag₂SO₄|silver sulfate
Ag₂Se|silver selenide
Ag₂SeO₃|silver selenite
Ag₂SeO₄|silver selenate
Ag₂Te|silver(I) telluride
Ag₃Br₂|silver dibromide
Ag₃Br₃|silver tribromide
Ag₃Cl₃|silver(III) trichloride
Ag₃I₃|silver(III) triiodide
Ag₃PO₄|silver phosphate
AlBO₃|aluminium borate
AlBr|aluminium monobromide
AlBr₃|aluminium tribromide
AlCl|aluminium monochloride
AlClF|aluminium chloride fluoride
AlCl₂<F|aluminium chloride fluoride
AlClO|aluminium chloride oxide
AlCl₂H|dichloroalumane
AlCl₃|aluminium chloride
AlCl₂F|aluminium chloride fluoride
AlCl₃|aluminium trichloride
AlCl₄Cs|aluminium caesium tetrachloride
AlCl₄K|potassium tetrachloroaluminate
AlCl₄Na|sodium tetrachloroaluminate
AlCl₄Rb|rubidium tetrachloroaluminate
AlCl₆K₃|potassium hexachloroaluminate
AlCl₆Na₃|sodium hexachloroaluminate
AlCo|Alumanylidynecobalt
AlF|aluminium monofluoride
AlFO|aluminium monofluoride monoxide
AlF₂|aluminium difluoride
AlF₂O|aluminium difluoride oxide
AlF₃|aluminium trifluoride
